Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 18:30:25,909090560,-98,6.5,7,905100000,0.082176s
2024-11-24 18:30:25,909090560,-84,-8.2,7,905100000,0.082176s
2024-11-24 18:30:13,896870093,-98,8.2,7,904500000,0.071936s
2024-11-24 18:30:13,896870093,-80,-0.2,7,904500000,0.071936s
2024-11-24 18:28:51,814436435,-97,8,7,905300000,0.071936s
2024-11-24 18:28:39,802181370,-104,1.8,7,904500000,0.071936s
2024-11-24 15:17:35,2223219437,-108,-10.2,9,904100000,0.246784s
2024-11-24 14:48:06,454812157,-104,-0.5,7,904900000,0.071936s
2024-11-24 14:48:06,454812157,-86,-1.8,7,904900000,0.071936s
2024-11-24 14:47:55,443179395,-105,-1,7,905300000,0.071936s
2024-11-24 14:16:34,2857283723,-83,11.8,7,904300000,0.077056s
2024-11-24 14:16:34,2857283723,-72,5.5,7,904300000,0.077056s
2024-11-24 14:16:22,2845904766,-89,12,7,905300000,0.077056s
2024-11-24 14:16:22,2845904766,-81,7.2,7,905300000,0.077056s
2024-11-24 14:16:11,2834471252,-77,13.5,7,903900000,0.077056s
2024-11-24 14:16:11,2834471252,-70,4.5,7,903900000,0.077056s
2024-11-24 14:15:59,2822542485,-80,13.2,7,904100000,0.077056s
2024-11-24 14:15:59,2822542485,-67,4.2,7,904100000,0.077056s
2024-11-24 14:15:48,2811098223,-84,13.5,7,904500000,0.077056s
2024-11-24 14:15:48,2811098223,-71,5.2,7,904500000,0.077056s
2024-11-24 14:15:36,2799174052,-102,3.2,7,904900000,0.077056s
2024-11-24 14:15:23,2345390727,-72,-3.2,7,905300000,0.071936s
2024-11-24 14:15:23,2345390727,-78,14,7,905300000,0.071936s
2024-11-24 14:15:12,2775340762,-92,11.2,7,903900000,0.082176s
2024-11-24 14:15:12,2775340762,-74,N/A,7,903900000,0.082176s
2024-11-24 14:14:59,2762058224,-92,9.8,7,904300000,0.071936s
2024-11-24 14:14:59,2762058224,-79,1.5,7,904300000,0.071936s
2024-11-24 14:12:57,2640788980,-80,14.2,7,903900000,0.077056s
2024-11-24 14:12:57,2640788980,-77,-3,7,903900000,0.077056s
